date,card_number,business_or_person_original,category_original,debit,credit,business_or_person,category,sequence
2024-02-23,5739.0,billa dankt,merchandise,2.66,,billa dankt,groceries,1
2024-02-22,5739.0,billa dankt,merchandise,6.96,,billa dankt,groceries,1
2024-02-21,5739.0,billa dankt,merchandise,3.85,,billa dankt,groceries,1
2024-02-21,5739.0,hofer dankt,merchandise,86.74,,hofer dankt,groceries,1
2024-02-18,5739.0,bäckerei martini,dining,7.55,,bäckerei martini,dining,1
2024-02-17,5739.0,spar fil. 4214,merchandise,29.66,,spar fil. ,groceries,1
2024-02-16,5739.0,obi bau-und heimwerker,merchandise,17.0,,obi bau-und heimwerker,home,1
2024-02-14,5739.0,billa dankt,merchandise,26.71,,billa dankt,groceries,1
2024-02-13,5739.0,spar fil. 4214,merchandise,16.61,,spar fil. ,groceries,1
2024-02-10,5739.0,wiener linien 229,other travel,2.59,,wiener linien ,car/bike/metro,1
2024-02-10,5739.0,oebb ticket automat,other travel,2.59,,oebb ticket automat,travel,1
2024-02-09,5739.0,billa dankt,merchandise,3.96,,billa dankt,groceries,1
2024-02-09,8035.0,billa online shop,merchandise,226.71,,billa online shop,groceries,1
2024-02-07,5739.0,sport & fun halle otta,other services,8.61,,sport & fun halle otta,entertainment,1
2024-02-07,5739.0,interspar fil. 8360,merchandise,3.63,,interspar fil. ,groceries,1
2024-02-06,5739.0,hernals. kebap pizza,dining,6.26,,hernals. kebap pizza,dining,1
2024-02-06,5739.0,billa dankt,merchandise,11.82,,billa dankt,groceries,1
2024-02-05,5739.0,würstelstand albertina,dining,22.78,,würstelstand albertina,dining,1
2024-02-04,3363.0,apple.com/bill,entertainment,0.99,,apple.com/bill,merchandise,1
2024-02-03,3363.0,nextbike by tier,other travel,1.31,,nextbike by tier,car/bike/metro,1
2024-02-03,5739.0,billa dankt,merchandise,21.51,,billa dankt,groceries,1
2024-02-03,5739.0,billa dankt,merchandise,6.32,,billa dankt,groceries,1
2024-02-01,3363.0,adidasat www.adidas.at,merchandise,119.45,,adidasat www.adidas.at,merchandise,1
2024-01-30,3363.0,nextbike by tier,other travel,0.65,,nextbike by tier,car/bike/metro,1
2024-01-30,5739.0,hernals. kebap pizza,dining,5.64,,hernals. kebap pizza,dining,1
2024-01-30,5739.0,bipa dankt,merchandise,9.77,,bipa dankt,groceries,1
2024-01-30,5739.0,hofer dankt,merchandise,2.16,,hofer dankt,groceries,1
2024-01-30,5739.0,hofer dankt,merchandise,87.13,,hofer dankt,groceries,1
2024-01-29,5739.0,spar fil. 4214,merchandise,5.52,,spar fil. ,groceries,1
2024-01-28,3363.0,nextbike by tier,other travel,0.65,,nextbike by tier,car/bike/metro,1
2024-01-27,5739.0,joe&joe vienna,lodging,12.41,,joe&joe vienna,dining,1
2024-01-27,5739.0,billa dankt,merchandise,8.66,,billa dankt,groceries,1
2024-01-27,5739.0,tmobile*prepaid web,phone/cable,69.95,,tmobile*prepaid web,utilities,1
2024-01-26,5739.0,billa dankt,merchandise,5.6,,billa dankt,groceries,1
2024-01-25,8035.0,billa dankt,merchandise,15.25,,billa dankt,groceries,1
2024-01-24,8035.0,dm-fil. 0937,merchandise,6.22,,dm-fil. ,groceries,1
2024-01-24,8035.0,spar fil. 4959,merchandise,3.81,,spar fil. ,groceries,1
2024-01-23,5739.0,ankerbrot,dining,3.55,,ankerbrot,dining,1
2024-01-23,5739.0,das kolin,dining,54.56,,das kolin,dining,1
2024-01-23,5739.0,jonas reindl 1090,dining,4.58,,jonas reindl ,dining,1
2024-01-23,5739.0,kaffeekuche,dining,6.11,,kaffeekuche,dining,1
2024-01-23,8035.0,obi bau- und heimwerke,merchandise,8.72,,obi bau- und heimwerke,home,1
2024-01-22,3363.0,nextbike by tier,other travel,1.31,,nextbike by tier,car/bike/metro,1
2024-01-22,5739.0,hernals. kebap pizza,dining,5.67,,hernals. kebap pizza,dining,1
2024-01-22,5739.0,billa dankt,merchandise,29.93,,billa dankt,groceries,1
2024-01-22,5739.0,oebb ticket automat,other travel,2.61,,oebb ticket automat,travel,1
2024-01-21,,jetzt bar,dining,60.0,,jetzt bar,dining,1
2024-01-21,,schniztel restaurant,dining,50.0,,schniztel restaurant,dining,1
2024-01-20,5739.0,l amour du pain,dining,26.69,,l amour du pain,dining,1
2024-01-20,5739.0,sumup  *cafe comet,dining,7.08,,sumup  *cafe comet,dining,1
2024-01-20,5739.0,sumup  *cafe comet,dining,13.84,,sumup  *cafe comet,dining,1
2024-01-19,5739.0,cafe konditorei heiner,dining,19.64,,cafe konditorei heiner,dining,1
2024-01-19,5739.0,cafe savoy,dining,39.27,,cafe savoy,dining,1
2024-01-19,5739.0,frau mayer,dining,10.79,,frau mayer,dining,1
2024-01-19,5739.0,hbla für gartenbau und,merchandise,17.45,,hbla für gartenbau und,home,1
2024-01-18,5739.0,wiener linien 228,other travel,2.61,,wiener linien ,car/bike/metro,1
2024-01-18,5739.0,interspar fil. 8730,merchandise,87.39,,interspar fil. ,groceries,1
2024-01-18,5739.0,oebb ticket automat,other travel,2.18,,oebb ticket automat,travel,1
2024-01-18,5739.0,oebb ticket automat,other travel,37.23,,oebb ticket automat,travel,1
2024-01-18,5739.0,oebb ticket automat,other travel,4.25,,oebb ticket automat,travel,1
2024-01-17,5739.0,uzr*bergzeit.at,merchandise,89.95,,uzr*bergzeit.at,exercise,1
2024-01-17,5739.0,ikea austria onlinesho,merchandise,83.63,,ikea austria onlinesho,home,1
2024-01-17,5739.0,obi bau- und heimwerke,merchandise,88.16,,obi bau- und heimwerke,home,1
2024-01-17,3363.0,yesss.at,merchandise,65.74,,yesss.at,utilities,1
2024-01-16,5739.0,wiener linien 2287,other travel,2.85,,wiener linien ,car/bike/metro,1
2024-01-16,5739.0,billa dankt,merchandise,14.97,,billa dankt,groceries,1
2024-01-13,5739.0,wiener linien 229,other travel,2.64,,wiener linien ,car/bike/metro,1
2024-01-13,5739.0,five guys graben,dining,32.42,,five guys graben,dining,1
2024-01-13,5739.0,motto brot,dining,18.13,,motto brot,dining,1
2024-01-13,5739.0,secret garden,dining,41.76,,secret garden,home,1
2024-01-13,5739.0,jack&jones wien,merchandise,43.95,,jack&jones wien,merchandise,1
2024-01-13,5739.0,tjx oesterreich ltd.,merchandise,63.7,,tjx oesterreich ltd.,merchandise,1
2024-01-12,5739.0,hofer dankt,merchandise,49.64,,hofer dankt,groceries,1
2024-01-11,5739.0,billa dankt,merchandise,3.82,,billa dankt,groceries,1
2024-01-09,8035.0,webshop burgtheater,entertainment,57.1,,webshop burgtheater,entertainment,1
2024-01-09,8035.0,billa dankt,merchandise,20.12,,billa dankt,groceries,1
2024-01-09,5739.0,spar fil. 4851,merchandise,4.81,,spar fil. ,groceries,1
2024-01-08,5739.0,florida driving recor,other,26.85,,florida driving recor,car/bike/metro,1
2024-01-06,5739.0,hernals. kebap pizza,dining,5.72,,hernals. kebap pizza,dining,1
2024-01-05,5739.0,billa dankt,merchandise,163.04,,billa dankt,groceries,1
2024-01-05,5739.0,hofer dankt,merchandise,52.96,,hofer dankt,groceries,1
2024-01-05,5739.0,interspar fil. 8730,merchandise,52.83,,interspar fil. ,groceries,1
2024-01-05,5739.0,st martin kg,health care,10.86,,st martin kg,groceries,1
2024-01-04,3363.0,apple.com/bill,entertainment,0.99,,apple.com/bill,merchandise,1
2024-01-03,5739.0,apapika bowls,dining,11.93,,apapika bowls,dining,1
2024-01-03,5739.0,spar fil. 4959,merchandise,15.44,,spar fil. ,groceries,1
2024-01-01,5739.0,der kunstverein in bre,merchandise,41.02,,der kunstverein in bre,entertainment,1
2023-12-31,5739.0,alex bremen (1040),dining,12.2,,alex bremen (),dining,1
2023-12-31,5739.0,starke baecker kg fil,dining,24.78,,starke baecker kg fil,dining,1
2023-12-30,5739.0,emma am see,dining,10.42,,emma am see,dining,1
2023-12-30,8035.0,starke baecker kg fil,dining,5.21,,starke baecker kg fil,dining,1
2023-12-29,5739.0,boussi falafel  ep gmb,dining,6.02,,boussi falafel  ep gmb,dining,1
2023-12-29,5739.0,cafe am hafen,dining,5.01,,cafe am hafen,dining,1
2023-12-29,8035.0,cph coffee lab,dining,8.91,,cph coffee lab,dining,1
2023-12-29,5739.0,schanzenbaeckerei gros,dining,8.25,,schanzenbaeckerei gros,dining,1
2023-12-29,5739.0,starke baecker kg fil,dining,4.23,,starke baecker kg fil,dining,1
2023-12-29,8035.0,sumup  *fisch und co.,merchandise,19.28,,sumup  *fisch und co.,dining,1
2023-12-29,5739.0,kiosk pavillon 3,merchandise,4.79,,kiosk pavillon ,groceries,1
2023-12-28,5739.0,espresso house,dining,18.13,,espresso house,dining,1
2023-12-28,5739.0,starke baecker kg fil,dining,5.12,,starke baecker kg fil,dining,1
2023-12-28,5739.0,paypal *vbn,internet,30.08,,paypal *vbn,merchandise,1
2023-12-28,5739.0,paypal *vbn,internet,37.88,,paypal *vbn,merchandise,1
2023-12-27,8035.0,gosch-sylt hannover,dining,4.97,,gosch-sylt hannover,dining,1
2023-12-27,5739.0,gosch-sylt hannover,dining,15.46,,gosch-sylt hannover,dining,1
2023-12-27,8035.0,starke baecker kg fil,dining,5.19,,starke baecker kg fil,dining,1
2023-12-27,5739.0,rossmann 104,health care,30.29,,rossmann ,health care,1
2023-12-23,5739.0,restaurant bandonion,dining,201.52,,restaurant bandonion,dining,1
2023-12-23,5739.0,starke baecker kg fil,dining,9.5,,starke baecker kg fil,dining,1
2023-12-23,5739.0,edeka fehner,merchandise,28.07,,edeka fehner,groceries,1
2023-12-22,5739.0,starke baecker kg fil,dining,6.82,,starke baecker kg fil,dining,1
2023-12-22,5739.0,edeka fehner,merchandise,20.17,,edeka fehner,groceries,1
2023-12-21,5739.0,starke baecker kg fil,dining,7.14,,starke baecker kg fil,dining,1
2023-12-21,5739.0,spc*d. s. blumen,merchandise,16.48,,spc*d. s. blumen,merchandise,1
2023-12-20,5739.0,cafe 12,dining,7.36,,cafe ,dining,1
2023-12-20,5739.0,le crobag hannover hbf,dining,4.62,,le crobag hannover hbf,dining,1
2023-12-20,5739.0,dornauers handwerkerho,merchandise,5.49,,dornauers handwerkerho,merchandise,1
2023-12-20,8035.0,db fernverkehr ag,dining,8.35,,db fernverkehr ag,travel,1
2023-12-19,5739.0,billa dankt,merchandise,69.03,,billa dankt,groceries,1
2023-12-19,8035.0,dm-fil. 0602,merchandise,8.64,,dm-fil. ,groceries,1
2023-12-19,8035.0,lidl dankt 593,merchandise,4.12,,lidl dankt ,groceries,1
2023-12-19,5739.0,post 1172,merchandise,32.8,,post ,merchandise,1
2023-12-19,5739.0,post 1172,merchandise,5.46,,post ,merchandise,1
2023-12-18,5739.0,interspar fil. 8730,merchandise,48.95,,interspar fil. ,groceries,1
2023-12-16,3363.0,nextbike by tier,other travel,0.66,,nextbike by tier,car/bike/metro,1
2023-12-16,5739.0,joseph brot,dining,16.57,,joseph brot,dining,1
2023-12-16,5739.0,billa dankt,merchandise,3.22,,billa dankt,groceries,1
2023-12-16,5739.0,mueller mha handelsgmb,health care,10.35,,mueller mha handelsgmb,merchandise,1
2023-12-15,5739.0,billa dankt,merchandise,12.35,,billa dankt,groceries,1
2023-12-15,5739.0,libro fil.1784,merchandise,2.96,,libro fil.,merchandise,1
2023-12-14,5739.0,der mann - backwaren 9,dining,8.16,,der mann - backwaren ,dining,1
2023-12-14,5739.0,billa dankt,merchandise,25.95,,billa dankt,groceries,1
2023-12-11,5739.0,billa dankt,merchandise,3.23,,billa dankt,groceries,1
2023-12-11,5739.0,lidl dankt 496,merchandise,38.52,,lidl dankt ,groceries,1
2023-12-11,3363.0,kindle svcs*b38mh3283,entertainment,5.55,,kindle svcs*bmh,learning,1
2023-12-10,5739.0,ströck 3087 löwengasse,dining,3.57,,ströck  löwengasse,dining,1
2023-12-10,5739.0,neu*prater wien gmbh,merchandise,0.54,,neu*prater wien gmbh,entertainment,1
2023-12-10,5739.0,fenster cafe,merchandise,4.76,,fenster cafe,merchandise,1
2023-12-09,5739.0,coffee pirates,dining,10.6,,coffee pirates,dining,1
2023-12-09,5739.0,hotel imperial vienna,lodging,59.5,,hotel imperial vienna,dining,1
2023-12-09,5739.0,joseph brot,dining,5.36,,joseph brot,dining,1
2023-12-09,5739.0,offerl - schottengasse,dining,6.38,,offerl - schottengasse,dining,1
2023-12-09,5739.0,spar fil. 4802,merchandise,7.88,,spar fil. ,groceries,1
2023-12-08,8035.0,aycan supermarkt,merchandise,6.65,,aycan supermarkt,groceries,1
2023-12-07,5739.0,lpd wien - verkehrsamt,other,65.38,,lpd wien - verkehrsamt,car/bike/metro,1
2023-12-07,5739.0,ströck 3045 kardinal-n,dining,3.57,,ströck  kardinal-n,dining,1
2023-12-07,5739.0,interspar fil. 8300,merchandise,8.68,,interspar fil. ,groceries,1
2023-12-06,5739.0,wiener linien 229,other travel,18.55,,wiener linien ,car/bike/metro,1
2023-12-06,8035.0,billa dankt,merchandise,7.79,,billa dankt,groceries,1
2023-12-06,5739.0,billa dankt,merchandise,14.01,,billa dankt,groceries,1
2023-12-06,8035.0,bipa dankt,merchandise,16.26,,bipa dankt,groceries,1
2023-12-06,8035.0,dm-fil. 0002,merchandise,9.55,,dm-fil. ,groceries,1
2023-12-06,5739.0,oebb ticket automat,other travel,4.34,,oebb ticket automat,travel,1
2023-12-06,5739.0,oebb ticket automat,other travel,4.23,,oebb ticket automat,travel,1
2023-12-05,5739.0,hernals. kebap pizza,dining,5.67,,hernals. kebap pizza,dining,1
2023-12-05,5739.0,me group austria gmbh,other services,10.9,,me group austria gmbh,dining,1
2023-12-05,5739.0,hofer dankt,merchandise,48.77,,hofer dankt,groceries,1
2023-12-05,5739.0,interspar fil. 8730,merchandise,52.74,,interspar fil. ,groceries,1
2023-12-05,8035.0,lidl dankt 593,merchandise,9.88,,lidl dankt ,groceries,1
2023-12-04,5739.0,oeamtc reisen  1002,gas/automotive,19.65,,oeamtc reisen  ,car/bike/metro,1
2023-12-04,5739.0,offerl wollzeile,dining,15.06,,offerl wollzeile,dining,1
2023-12-04,3363.0,apple.com/bill,merchandise,0.99,,apple.com/bill,merchandise,1
2023-12-04,5739.0,libro fil.1784,merchandise,10.57,,libro fil.,merchandise,1
2023-12-03,5739.0,wiener linien 789,other travel,2.62,,wiener linien ,car/bike/metro,1
2023-12-03,5739.0,ankerbrot,dining,10.7,,ankerbrot,dining,1
2023-12-03,5739.0,lieferando.at lieferse,dining,34.38,,lieferando.at lieferse,dining,1
2023-12-03,5739.0,ströck 3088 wien nord,dining,3.6,,ströck  wien nord,dining,1
2023-12-02,5739.0,wiener linien 148,other travel,2.62,,wiener linien ,car/bike/metro,1
2023-12-02,5739.0,der mann - backwaren 9,dining,4.15,,der mann - backwaren ,dining,1
2023-12-01,5739.0,wiener linien 171,other travel,2.64,,wiener linien ,car/bike/metro,1
2023-12-01,5739.0,cafe sharky,entertainment,8.69,,cafe sharky,dining,1
2023-12-01,5739.0,motto brot,dining,13.42,,motto brot,dining,1
2023-12-01,5739.0,haus des meeres,entertainment,34.86,,haus des meeres,entertainment,1
2023-12-01,8035.0,billa dankt,merchandise,17.34,,billa dankt,groceries,1
2023-11-29,3363.0,nextbike by tier,other travel,1.32,,nextbike by tier,car/bike/metro,1
2023-11-27,5739.0,interspar fil. 8200,merchandise,2.18,,interspar fil. ,groceries,1
2023-11-27,5739.0,lidl dankt 496,merchandise,90.96,,lidl dankt ,groceries,1
2023-11-26,5739.0,bäckerei martini,dining,10.07,,bäckerei martini,dining,1
2023-11-26,5739.0,steinmetz gastro gm,dining,30.1,,steinmetz gastro gm,dining,1
2023-11-25,8035.0,dm-fil. 0043,merchandise,18.39,,dm-fil. ,groceries,1
2023-11-25,5739.0,hofer dankt,merchandise,88.45,,hofer dankt,groceries,1
2023-11-24,3363.0,nextbike by tier,other travel,0.66,,nextbike by tier,car/bike/metro,1
2023-11-24,5739.0,hernals. kebap pizza,dining,5.69,,hernals. kebap pizza,dining,1
2023-11-23,5739.0,billa dankt,merchandise,36.68,,billa dankt,groceries,1
2023-11-21,3363.0,nextbike by tier,other travel,3.28,,nextbike by tier,car/bike/metro,1
2023-11-21,5739.0,matco,dining,5.36,,matco,dining,1
2023-11-20,5739.0,ströck 3046 schwedenpl,dining,4.52,,ströck  schwedenpl,dining,1
2023-11-20,5739.0,billa dankt,merchandise,7.6,,billa dankt,groceries,1
2023-11-20,5739.0,billa dankt,merchandise,101.9,,billa dankt,groceries,1
2023-11-19,3363.0,nextbike by tier,other travel,0.65,,nextbike by tier,car/bike/metro,1
2023-11-18,5739.0,joe&joe vienna,lodging,5.34,,joe&joe vienna,dining,1
2023-11-18,5739.0,joe&joe vienna,lodging,3.81,,joe&joe vienna,dining,1
2023-11-18,5739.0,street grill,dining,11.88,,street grill,dining,1
2023-11-18,5739.0,sumup  *caffecouture,dining,4.36,,sumup  *caffecouture,dining,1
2023-11-18,8035.0,billa dankt,merchandise,17.18,,billa dankt,groceries,1
2023-11-18,5739.0,hofer dankt,merchandise,4.07,,hofer dankt,groceries,1
2023-11-18,5739.0,libro fil.695,merchandise,5.01,,libro fil.,merchandise,1
2023-11-17,5739.0,sumup  *zm gastro gmbh,dining,4.36,,sumup  *zm gastro gmbh,dining,1
2023-11-17,5739.0,billa dankt,merchandise,4.27,,billa dankt,groceries,1
2023-11-16,3363.0,nextbike by tier,other travel,0.65,,nextbike by tier,car/bike/metro,1
2023-11-16,5739.0,speisekammer,dining,14.16,,speisekammer,dining,1
2023-11-15,3363.0,db vertrieb gmbh,other travel,173.63,,db vertrieb gmbh,travel,1
2023-11-14,8035.0,billa dankt,merchandise,39.75,,billa dankt,groceries,1
2023-11-13,5739.0,billa dankt,merchandise,10.89,,billa dankt,groceries,1
2023-11-11,3363.0,nextbike by tier,other travel,1.29,,nextbike by tier,car/bike/metro,1
2023-11-11,5739.0,hofer dankt,merchandise,18.8,,hofer dankt,groceries,1
2023-11-11,5739.0,obi bau- und heimwerke,merchandise,26.74,,obi bau- und heimwerke,home,1
2023-11-09,3363.0,nextbike by tier,other travel,2.57,,nextbike by tier,car/bike/metro,1
2023-11-09,5739.0,der mann - backwaren 9,dining,4.61,,der mann - backwaren ,dining,1
2023-11-09,5739.0,sumup  *balthasar kaff,dining,3.75,,sumup  *balthasar kaff,dining,1
2023-11-09,5739.0,interspar fil. 8200,merchandise,5.46,,interspar fil. ,groceries,1
2023-11-09,3363.0,apple.com/us,merchandise,99.0,,apple.com/us,merchandise,1
2023-11-08,5739.0,billa dankt,merchandise,7.07,,billa dankt,groceries,1
2023-11-07,5739.0,coffee pirates,dining,4.52,,coffee pirates,dining,1
